VOO US EQUITY
VOOG US EQUITY
VOOV US EQUITY
VO US EQUITY
VOT US EQUITY
VOE US EQUITY
VTWO US EQUITY
VTWG US EQUITY
VTWV US EQUITY
GLD US EQUITY
SLV US EQUITY
CPER US EQUITY
DBO US EQUITY
UNG US EQUITY
VNQ US EQUITY
SHYG US EQUITY
SPSB US EQUITY
SHY US EQUITY
JNK US EQUITY
SPIB US EQUITY
IEI US EQUITY
ANGL US EQUITY
SPIB US EQUITY
TLH US EQUITY
TLT US EQUITY
VGK US EQUITY
VWO US EQUITY
MCHI US EQUITY
EWY US EQUITY
EWJ US EQUITY
SH US EQUITY
PSQ US EQUITY
BSV US EQUITY
RWM US EQUITY
DOG US EQUITY
EUM US EQUITY
VOX US EQUITY
VCR US EQUITY
VDC US EQUITY
VDE US EQUITY
VFH US EQUITY
VHT US EQUITY
VIS US EQUITY
VGT US EQUITY
VAW US EQUITY
VNQ US EQUITY
VPU US EQUITY
